round	word-pos	coders	items	values	metric	result
round-4	suspicious-j	4	98	3	agreement	0.88
round-5	become-v	2	499	5	masi	0.60
round-5	become-v	2	499	5	nominal	0.59
round-5	become-v	2	499	5	agreement	0.80
round-5	byzantine-j	3	60	6	masi	0.19
round-5	byzantine-j	3	60	6	nominal	0.16
round-5	byzantine-j	3	60	6	agreement	0.57
round-5	force-n	2	227	21	masi	0.56
round-5	force-n	2	227	21	nominal	0.51
round-5	force-n	2	227	21	agreement	0.59
round-5	greek-j	2	308	4	masi	0.42
round-5	greek-j	2	308	4	nominal	0.42
round-5	greek-j	2	308	4	agreement	0.93
round-5	part-n	2	10	10	masi	0.39
round-5	part-n	2	10	10	nominal	0.11
round-5	part-n	2	10	10	agreement	0.20
round-5	people-n	2	497	9	masi	0.35
round-5	people-n	2	497	9	nominal	0.24
round-5	people-n	2	497	9	agreement	0.78
round-5	power-n	2	497	21	masi	0.31
round-5	power-n	2	497	21	nominal	0.26
round-5	power-n	2	497	21	agreement	0.40
round-5	transfer-v	3	104	18	masi	0.43
round-5	transfer-v	3	104	18	nominal	0.28
round-5	transfer-v	3	104	18	agreement	0.48
round-5	write-v	3	98	13	masi	0.45
round-5	write-v	3	98	13	nominal	0.43
round-5	write-v	3	98	13	agreement	0.56
round-6	add-v	4	99	10	masi	0.56
round-6	add-v	4	99	10	nominal	0.55
round-6	add-v	4	99	10	agreement	0.72
round-6	color-n	4	100	12	masi	0.16
round-6	color-n	4	100	12	nominal	0.15
round-6	color-n	4	100	12	agreement	0.66
round-6	date-n	4	99	11	masi	0.49
round-6	date-n	4	99	11	nominal	0.47
round-6	date-n	4	99	11	agreement	0.57
round-6	image-n	4	100	17	masi	0.61
round-6	image-n	4	100	17	nominal	0.57
round-6	image-n	4	100	17	agreement	0.71
round-6	lose-v	4	98	16	masi	0.48
round-6	lose-v	4	98	16	nominal	0.43
round-6	lose-v	4	98	16	agreement	0.59
round-6	meet-v	4	100	19	masi	0.72
round-6	meet-v	4	100	19	nominal	0.58
round-6	meet-v	4	100	19	agreement	0.66
round-6	read-v	4	98	13	masi	0.66
round-6	read-v	4	98	13	nominal	0.64
round-6	read-v	4	98	13	agreement	0.89
round-6	warm-j	4	44	8	masi	0.84
round-6	warm-j	4	44	8	nominal	0.74
round-6	warm-j	4	44	8	agreement	0.86
round-6	win-v	4	100	11	masi	0.32
round-6	win-v	4	100	11	nominal	0.25
round-6	win-v	4	100	11	agreement	0.72
round-6	window-n	4	99	10	masi	0.48
round-6	window-n	4	99	10	nominal	0.48
round-6	window-n	4	99	10	agreement	0.62
round-7	poor-j	4	94	11	masi	0.62
round-7	poor-j	4	94	11	nominal	0.57
round-7	poor-j	4	94	11	agreement	0.66
round-7	serve-v	4	99	19	masi	0.60
round-7	serve-v	4	99	19	nominal	0.57
round-7	serve-v	4	99	19	agreement	0.67
round-7	sight-n	4	99	10	masi	0.54
round-7	sight-n	4	99	10	nominal	0.54
round-7	sight-n	4	99	10	agreement	0.65
round-7	sound-n	4	100	17	masi	0.62
round-7	sound-n	4	100	17	nominal	0.57
round-7	sound-n	4	100	17	agreement	0.63
round-7	strike-n	4	99	6	masi	0.89
round-7	strike-n	4	99	6	nominal	0.89
round-7	strike-n	4	99	6	agreement	0.93
round-7	strike-v	3	100	22	masi	0.75
round-7	strike-v	3	100	22	nominal	0.72
round-7	strike-v	3	100	22	agreement	0.75
round-7	trace-n	3	100	10	masi	0.29
round-7	trace-n	3	100	10	nominal	0.28
round-7	trace-n	3	100	10	agreement	0.47
round-7	trace-v	3	100	11	masi	0.49
round-7	trace-v	3	100	11	nominal	0.44
round-7	trace-v	3	100	11	agreement	0.61
round-8	ask-v	4	100	6	masi	0.21
round-8	ask-v	4	100	6	nominal	0.20
round-8	ask-v	4	100	6	agreement	0.45
round-8	different-j	4	100	10	masi	0.13
round-8	different-j	4	100	10	nominal	0.12
round-8	different-j	4	100	10	agreement	0.60
round-8	family-n	4	99	14	masi	0.34
round-8	family-n	4	99	14	nominal	0.14
round-8	family-n	4	99	14	agreement	0.32
round-8	great-j	4	100	10	masi	0.57
round-8	great-j	4	100	10	nominal	0.51
round-8	great-j	4	100	10	agreement	0.64
round-8	life-n	4	97	26	masi	0.53
round-8	life-n	4	97	26	nominal	0.43
round-8	life-n	4	97	26	agreement	0.52
round-8	live-v	4	100	14	masi	0.70
round-8	live-v	4	100	14	nominal	0.69
round-8	live-v	4	100	14	agreement	0.78
round-8	number-n	4	99	7	masi	0.62
round-8	number-n	4	99	7	nominal	0.62
round-8	number-n	4	99	7	agreement	0.95
round-8	state-n	4	100	11	masi	0.75
round-8	state-n	4	100	11	nominal	0.73
round-8	state-n	4	100	11	agreement	0.80
round-8	suggest-v	4	100	5	masi	0.56
round-8	suggest-v	4	100	5	nominal	0.56
round-8	suggest-v	4	100	5	agreement	0.78
round-8	way-n	4	99	19	masi	0.51
round-8	way-n	4	99	19	nominal	0.49
round-8	way-n	4	99	19	agreement	0.62
round-9	appear-v	4	97	7	masi	0.63
round-9	appear-v	4	97	7	nominal	0.63
round-9	appear-v	4	97	7	agreement	0.73
round-9	fold-v	4	41	8	masi	0.52
round-9	fold-v	4	41	8	nominal	0.52
round-9	fold-v	4	41	8	agreement	0.72
round-9	full-j	4	93	9	masi	0.57
round-9	full-j	4	93	9	nominal	0.57
round-9	full-j	4	93	9	agreement	0.69
round-9	hit-v	4	94	19	masi	0.58
round-9	hit-v	4	94	19	nominal	0.58
round-9	hit-v	4	94	19	agreement	0.63
round-9	kill-v	4	91	14	masi	0.26
round-9	kill-v	4	91	14	nominal	0.26
round-9	kill-v	4	91	14	agreement	0.76
round-9	late-j	4	97	9	masi	0.86
round-9	late-j	4	97	9	nominal	0.85
round-9	late-j	4	97	9	agreement	0.90
round-9	level-n	4	91	10	masi	0.21
round-9	level-n	4	91	10	nominal	0.21
round-9	level-n	4	91	10	agreement	0.44
round-9	paper-n	4	95	10	masi	0.57
round-9	paper-n	4	95	10	nominal	0.57
round-9	paper-n	4	95	10	agreement	0.66
round-9	sense-n	4	97	8	masi	0.54
round-9	sense-n	4	97	8	nominal	0.54
round-9	sense-n	4	97	8	agreement	0.65
round-10	board-n	4	92	9	masi	0.56
round-10	board-n	4	92	9	nominal	0.56
round-10	board-n	4	92	9	agreement	0.80
round-10	book-n	4	94	12	masi	0.62
round-10	book-n	4	94	12	nominal	0.60
round-10	book-n	4	94	12	agreement	0.84
round-10	book-v	4	61	8	masi	0.66
round-10	book-v	4	61	8	nominal	0.64
round-10	book-v	4	61	8	agreement	0.79
round-10	common-j	4	98	12	masi	0.40
round-10	common-j	4	98	12	nominal	0.40
round-10	common-j	4	98	12	agreement	0.53
round-10	control-n	4	96	13	masi	0.34
round-10	control-n	4	96	13	nominal	0.34
round-10	control-n	4	96	13	agreement	0.47
round-10	find-v	4	94	19	masi	0.28
round-10	find-v	4	94	19	nominal	0.28
round-10	find-v	4	94	19	agreement	0.38
round-10	help-v	4	98	9	masi	0.26
round-10	help-v	4	98	9	nominal	0.26
round-10	help-v	4	98	9	agreement	0.58
round-10	high-j	4	98	7	masi	0.85
round-10	high-j	4	98	7	nominal	0.84
round-10	high-j	4	98	7	agreement	0.91
round-10	particular-j	4	92	7	masi	0.20
round-10	particular-j	4	92	7	nominal	0.20
