"uri","movie","year","star"
"http://dbpedia.org/resource/Backyard_Blitz","Backyard Blitz",,"Jody Rigby"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Marianne Stone"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Bill Owen (actor)"
"http://dbpedia.org/resource/Buffy_the_Vampire_Slayer","Buffy the Vampire Slayer",,"Michelle Trachtenberg"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Leslie Phillips"
"http://dbpedia.org/resource/Dark_Angel_(TV_series)","Dark Angel (TV series)",,"Richard Gunn (actor)"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Peter Butterworth"
"http://dbpedia.org/resource/Buffy_the_Vampire_Slayer","Buffy the Vampire Slayer",,"Sarah Michelle Gellar"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Sid James"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Charles Hawtrey (actor born 1914)"
"http://dbpedia.org/resource/Dark_Angel_(TV_series)","Dark Angel (TV series)",,"John Savage (actor)"
"http://dbpedia.org/resource/Buffy_the_Vampire_Slayer","Buffy the Vampire Slayer",,"Seth Green"
"http://dbpedia.org/resource/Cracker_(UK_TV_series)","Cracker (UK TV series)",,"Ricky Tomlinson"
"http://dbpedia.org/resource/Cracker_(UK_TV_series)","Cracker (UK TV series)",,"Lorcan Cranitch"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Kenneth Connor"
"http://dbpedia.org/resource/Buffy_the_Vampire_Slayer","Buffy the Vampire Slayer",,"Marc Blucas"
"http://dbpedia.org/resource/Cracker_(UK_TV_series)","Cracker (UK TV series)",,"Christopher Eccleston"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Jack Douglas (actor)"
"http://dbpedia.org/resource/Dark_Angel_(TV_series)","Dark Angel (TV series)",,"Jensen Ackles"
"http://dbpedia.org/resource/Absolutely_Fabulous","Absolutely Fabulous",,"Jennifer Saunders"
"http://dbpedia.org/resource/Absolutely_Fabulous","Absolutely Fabulous",,"Joanna Lumley"
"http://dbpedia.org/resource/Absolutely_Fabulous","Absolutely Fabulous",,"June Whitfield"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Terry Scott"
"http://dbpedia.org/resource/Dark_Angel_(TV_series)","Dark Angel (TV series)",,"Jessica Alba"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Barbara Windsor"
"http://dbpedia.org/resource/Absolutely_Fabulous","Absolutely Fabulous",,"Julia Sawalha"
"http://dbpedia.org/resource/Buffy_the_Vampire_Slayer","Buffy the Vampire Slayer",,"James Marsters"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Jim Dale"
"http://dbpedia.org/resource/Buffy_the_Vampire_Slayer","Buffy the Vampire Slayer",,"Nicholas Brendon"
"http://dbpedia.org/resource/Dark_Angel_(TV_series)","Dark Angel (TV series)",,"Ashley Scott"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Bernard Bresslaw"
"http://dbpedia.org/resource/Buffy_the_Vampire_Slayer","Buffy the Vampire Slayer",,"Charisma Carpenter"
"http://dbpedia.org/resource/Buffy_the_Vampire_Slayer","Buffy the Vampire Slayer",,"David Boreanaz"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Hattie Jacques"
"http://dbpedia.org/resource/Absolutely_Fabulous","Absolutely Fabulous",,"Jane Horrocks"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Joan Sims"
"http://dbpedia.org/resource/Buffy_the_Vampire_Slayer","Buffy the Vampire Slayer",,"Anthony Head"
"http://dbpedia.org/resource/Dark_Angel_(TV_series)","Dark Angel (TV series)",,"J. C. MacKenzie"
"http://dbpedia.org/resource/Dark_Angel_(TV_series)","Dark Angel (TV series)",,"Kevin Durand"
"http://dbpedia.org/resource/Dark_Angel_(TV_series)","Dark Angel (TV series)",,"Martin Cummins"
"http://dbpedia.org/resource/Dark_Angel_(TV_series)","Dark Angel (TV series)",,"Valarie Rae Miller"
"http://dbpedia.org/resource/Cracker_(UK_TV_series)","Cracker (UK TV series)",,"Kieran O'Brien"
"http://dbpedia.org/resource/Buffy_the_Vampire_Slayer","Buffy the Vampire Slayer",,"Amber Benson"
"http://dbpedia.org/resource/Buffy_the_Vampire_Slayer","Buffy the Vampire Slayer",,"Emma Caulfield"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On (franchise)",,"Patsy Rowlands"
"http://dbpedia.org/resource/Cracker_(UK_TV_series)","Cracker (UK TV series)",,"Robbie Coltrane"
"http://dbpedia.org/resource/Cracker_(UK_TV_series)","Cracker (UK TV series)",,"Geraldine Somerville"
"http://dbpedia.org/resource/Backyard_Blitz","Backyard Blitz",,"Scott Cam"
"http://dbpedia.org/resource/Everyone_Says_I_Love_You","Everyone Says I Love You","1996 films","Goldie Hawn"
"http://dbpedia.org/resource/French_Kiss_(1995_film)","French Kiss (1995 film)","1995 films","Jean Reno"
"http://dbpedia.org/resource/Forbidden_Planet","Forbidden Planet","1956 films","Leslie Nielsen"
"http://dbpedia.org/resource/French_Kiss_(1995_film)","French Kiss (1995 film)","1995 films","Meg Ryan"
