"uri","movie","year","star"
"http://dbpedia.org/resource/City_of_Angels_(1976_TV_series)","City of Angels (1976 TV series)",,"Wayne Rogers"
"http://dbpedia.org/resource/Classmates_(2006_film)","Classmates (2006 film)",,"Jayasurya"
"http://dbpedia.org/resource/Code_Black_(TV_series)","Code Black (TV series)",,"William Allen Young"
"http://dbpedia.org/resource/Chemistry_(drama)","Chemistry (drama)",,"Iffat Omar"
"http://dbpedia.org/resource/City_of_Angels_(2000_TV_series)","City of Angels (2000 TV series)",,"Gabrielle Union"
"http://dbpedia.org/resource/Chefs_(TV_series)","Chefs (TV series)",,"Anne Charrier"
"http://dbpedia.org/resource/Clapham_Junction_(film)","Clapham Junction (film)",,"David Leon"
"http://dbpedia.org/resource/Clapham_Junction_(film)","Clapham Junction (film)",,"Luke Treadaway"
"http://dbpedia.org/resource/Colditz_(TV_series)","Colditz (TV series)",,"Robert Wagner"
"http://dbpedia.org/resource/Classmates_(2006_film)","Classmates (2006 film)",,"Balachandra Menon"
"http://dbpedia.org/resource/Code_Black_(TV_series)","Code Black (TV series)",,"Boris Kodjoe"
"http://dbpedia.org/resource/Carrie_(2002_film)","Carrie (2002 film)",,"Kandyse McClure"
"http://dbpedia.org/resource/Colditz_(TV_series)","Colditz (TV series)",,"David McCallum"
"http://dbpedia.org/resource/Colditz_(TV_series)","Colditz (TV series)",,"Bernard Hepton"
"http://dbpedia.org/resource/Chemistry_(drama)","Chemistry (drama)",,"Sanam Baloch"
"http://dbpedia.org/resource/Cherry_(film)","Cherry (film)",,"Kyle Gallner"
"http://dbpedia.org/resource/Chaos_Theory_(film)","Chaos Theory (film)",,"Mike Erwin"
"http://dbpedia.org/resource/Classmates_(2006_film)","Classmates (2006 film)",,"Narain (actor)"
"http://dbpedia.org/resource/City_of_Angels_(2000_TV_series)","City of Angels (2000 TV series)",,"Blair Underwood"
"http://dbpedia.org/resource/City_of_Angels_(2000_TV_series)","City of Angels (2000 TV series)",,"Kyle Secor"
"http://dbpedia.org/resource/Code_Black_(TV_series)","Code Black (TV series)",,"Harry Ford (actor)"
"http://dbpedia.org/resource/City_of_Angels_(1976_TV_series)","City of Angels (1976 TV series)",,"Clifton James"
"http://dbpedia.org/resource/Classmates_(2006_film)","Classmates (2006 film)",,"Jagathy Sreekumar"
"http://dbpedia.org/resource/Chemistry_(drama)","Chemistry (drama)",,"Danish Taimoor"
"http://dbpedia.org/resource/Chemistry:_A_Volatile_History","Chemistry: A Volatile History",,"Andrea Sella"
"http://dbpedia.org/resource/Code_Black_(TV_series)","Code Black (TV series)",,"Rob Lowe"
"http://dbpedia.org/resource/Classmates_(2006_film)","Classmates (2006 film)",,"Kavya Madhavan"
"http://dbpedia.org/resource/Chaos_Theory_(film)","Chaos Theory (film)",,"Sarah Chalke"
"http://dbpedia.org/resource/Celebrity_(TV_series)","Celebrity (TV series)",,"Ben Masters"
"http://dbpedia.org/resource/Cherry_(film)","Cherry (film)",,"Laura Allen"
"http://dbpedia.org/resource/Carrie_(2002_film)","Carrie (2002 film)",,"Angela Bettis"
"http://dbpedia.org/resource/Clapham_Junction_(film)","Clapham Junction (film)",,"Stuart Bunce"
"http://dbpedia.org/resource/Classmates_(2006_film)","Classmates (2006 film)",,"Radhika (Malayalam actress)"
"http://dbpedia.org/resource/Chefs_(TV_series)","Chefs (TV series)",,"Nicolas Gob"
"http://dbpedia.org/resource/City_of_Angels_(2000_TV_series)","City of Angels (2000 TV series)",,"Vivica A. Fox"
"http://dbpedia.org/resource/Chefs_(TV_series)","Chefs (TV series)",,"Annie Cordy"
"http://dbpedia.org/resource/City_of_Angels_(2000_TV_series)","City of Angels (2000 TV series)",,"Maya Rudolph"
"http://dbpedia.org/resource/Chefs_(TV_series)","Chefs (TV series)",,"Clovis Cornillac"
"http://dbpedia.org/resource/Chefs_(TV_series)","Chefs (TV series)",,"Robin Renucci"
"http://dbpedia.org/resource/Challenge_(2009_film)","Challenge (2009 film)",,"Subhashree Ganguly"
"http://dbpedia.org/resource/Chefs_(TV_series)","Chefs (TV series)",,"Juliette Noureddine"
"http://dbpedia.org/resource/Common_Threads:_Stories_from_the_Quilt","Common Threads: Stories from the Quilt","1989 films","Dustin Hoffman"
"http://dbpedia.org/resource/Cosmopolis_(film)","Cosmopolis (film)","2012 films","Juliette Binoche"
"http://dbpedia.org/resource/Corrina,_Corrina_(film)","Corrina, Corrina (film)","1994 films","Whoopi Goldberg"
"http://dbpedia.org/resource/Confetti_(2006_film)","Confetti (2006 film)","2006 films","Martin Freeman"
"http://dbpedia.org/resource/Confetti_(2006_film)","Confetti (2006 film)","2006 films","Meredith MacNeill"
"http://dbpedia.org/resource/Copenhagen_(2014_film)","Copenhagen (2014 film)","2014 films","Sebastian Armesto"
"http://dbpedia.org/resource/Copenhagen_(2014_film)","Copenhagen (2014 film)","2014 films","Gethin Anthony"
"http://dbpedia.org/resource/Common_Ground_(2000_film)","Common Ground (2000 film)","2000 films","Jonathan Taylor Thomas"
"http://dbpedia.org/resource/Come_Fly_with_Me_(film)","Come Fly with Me (film)","1963 films","Dawn Addams"
"http://dbpedia.org/resource/Competition_(1915_film)","Competition (1915 film)","1915 films","Charlotte Burton"
"http://dbpedia.org/resource/Conflict_(1945_film)","Conflict (1945 film)","1945 films","Humphrey Bogart"
"http://dbpedia.org/resource/Conflict_(1936_film)","Conflict (1936 film)","1936 films","John Wayne"
"http://dbpedia.org/resource/Conflict_(1945_film)","Conflict (1945 film)","1945 films","Sydney Greenstreet"
"http://dbpedia.org/resource/Copenhagen_(2014_film)","Copenhagen (2014 film)","2014 films","Baard Owe"
"http://dbpedia.org/resource/Common_Ground_(2000_film)","Common Ground (2000 film)","2000 films","James LeGros"
"http://dbpedia.org/resource/Conviction_(2010_film)","Conviction (2010 film)","2010 films","Peter Gallagher"
"http://dbpedia.org/resource/Copenhagen_(2014_film)","Copenhagen (2014 film)","2014 films","Mille Dinesen"
"http://dbpedia.org/resource/Conviction_(2010_film)","Conviction (2010 film)","2010 films","Melissa Leo"
"http://dbpedia.org/resource/Conviction_(2010_film)","Conviction (2010 film)","2010 films","Sam Rockwell"
"http://dbpedia.org/resource/Conflict_(1945_film)","Conflict (1945 film)","1945 films","Alexis Smith"
"http://dbpedia.org/resource/Come_Fly_with_Me_(film)","Come Fly with Me (film)","1963 films","Lois Nettleton"
"http://dbpedia.org/resource/Come_Fly_with_Me_(film)","Come Fly with Me (film)","1963 films","Pamela Tiffin"
"http://dbpedia.org/resource/Confetti_(2006_film)","Confetti (2006 film)","2006 films","Felicity Montagu"
"http://dbpedia.org/resource/Confetti_(1927_film)","Confetti (1927 film)","1927 films","Robin Irvine"
"http://dbpedia.org/resource/Conviction_(2010_film)","Conviction (2010 film)","2010 films","Hilary Swank"
"http://dbpedia.org/resource/Come_as_You_Are_(film)","Come as You Are (film)","2011 films","Veerle Baetens"
"http://dbpedia.org/resource/Confetti_(1927_film)","Confetti (1927 film)","1927 films","Jack Buchanan"
"http://dbpedia.org/resource/Confetti_(1927_film)","Confetti (1927 film)","1927 films","Annette Benson"
"http://dbpedia.org/resource/Common_Ground_(2000_film)","Common Ground (2000 film)","2000 films","Brittany Murphy"
"http://dbpedia.org/resource/Comanche_(1956_film)","Comanche (1956 film)","1956 films","Dana Andrews"
"http://dbpedia.org/resource/Come_Fly_with_Me_(film)","Come Fly with Me (film)","1963 films","Karl Malden"
"http://dbpedia.org/resource/Common_Ground_(2000_film)","Common Ground (2000 film)","2000 films","Jason Priestley"
"http://dbpedia.org/resource/Conviction_(2010_film)","Conviction (2010 film)","2010 films","Minnie Driver"
"http://dbpedia.org/resource/Come_Fly_with_Me_(film)","Come Fly with Me (film)","1963 films","Hugh O'Brian"
"http://dbpedia.org/resource/Confetti_(2006_film)","Confetti (2006 film)","2006 films","Jimmy Carr"
"http://dbpedia.org/resource/Comanche_(1956_film)","Comanche (1956 film)","1956 films","Kent Smith"
"http://dbpedia.org/resource/Confetti_(2006_film)","Confetti (2006 film)","2006 films","Stephen Mangan"
"http://dbpedia.org/resource/Copenhagen_(2014_film)","Copenhagen (2014 film)","2014 films","Tamzin Merchant"
"http://dbpedia.org/resource/Common_Ground_(1916_film)","Common Ground (1916 film)","1916 films","Thomas Meighan"
"http://dbpedia.org/resource/Come_and_Get_It_(film)","Come and Get It (film)","1936 films","Edward Arnold (actor)"
"http://dbpedia.org/resource/Come_and_Get_It_(film)","Come and Get It (film)","1936 films","Joel McCrea"
"http://dbpedia.org/resource/Common_Ground_(2000_film)","Common Ground (2000 film)","2000 films","Steven Weber (actor)"
"http://dbpedia.org/resource/Corrina,_Corrina_(film)","Corrina, Corrina (film)","1994 films","Tina Majorino"
"http://dbpedia.org/resource/Confetti_(2006_film)","Confetti (2006 film)","2006 films","Robert Webb (actor)"
"http://dbpedia.org/resource/Common_Ground_(2000_film)","Common Ground (2000 film)","2000 films","Edward Asner"
"http://dbpedia.org/resource/Comanche_(1956_film)","Comanche (1956 film)","1956 films","Nestor Paiva"
"http://dbpedia.org/resource/Copenhagen_(2014_film)","Copenhagen (2014 film)","2014 films","Olivia Grant (actress born 1983)"
"http://dbpedia.org/resource/Come_Fly_with_Me_(film)","Come Fly with Me (film)","1963 films","Dolores Hart"
"http://dbpedia.org/resource/Conflict_(1936_film)","Conflict (1936 film)","1936 films","Jean Rogers"
"http://dbpedia.org/resource/Common_Ground_(1916_film)","Common Ground (1916 film)","1916 films","Marie Doro"
"http://dbpedia.org/resource/Come_Fly_with_Me_(film)","Come Fly with Me (film)","1963 films","Karlheinz Böhm"
"http://dbpedia.org/resource/Confetti_(2006_film)","Confetti (2006 film)","2006 films","Olivia Colman"
"http://dbpedia.org/resource/Come_and_Get_It_(film)","Come and Get It (film)","1936 films","Frances Farmer"
"http://dbpedia.org/resource/Corrina,_Corrina_(film)","Corrina, Corrina (film)","1994 films","Ray Liotta"
"http://dbpedia.org/resource/Conviction_(2010_film)","Conviction (2010 film)","2010 films","Juliette Lewis"
"http://dbpedia.org/resource/Come_and_Get_It_(film)","Come and Get It (film)","1936 films","Walter Brennan"
"http://dbpedia.org/resource/Conflict_(1936_film)","Conflict (1936 film)","1936 films","Ward Bond"
"http://dbpedia.org/resource/Confetti_(1927_film)","Confetti (1927 film)","1927 films","Sydney Fairbrother"
"http://dbpedia.org/resource/Confetti_(2006_film)","Confetti (2006 film)","2006 films","Jessica Stevenson"
"http://dbpedia.org/resource/Crossroads_(2002_film)","Crossroads (2002 film)","2002 films","Dan Aykroyd"
"http://dbpedia.org/resource/Cosmopolis_(film)","Cosmopolis (film)","2012 films","Robert Pattinson"
"http://dbpedia.org/resource/Crackerjack_(2002_film)","Crackerjack (2002 film)","2002 films","Samuel Johnson (actor)"
"http://dbpedia.org/resource/Crackerjack_(2002_film)","Crackerjack (2002 film)","2002 films","Judith Lucy"
"http://dbpedia.org/resource/Crackerjack_(2002_film)","Crackerjack (2002 film)","2002 films","Esme Melville"
"http://dbpedia.org/resource/Crackerjack_(1938_film)","Crackerjack (1938 film)","1938 films","Tom Walls"
"http://dbpedia.org/resource/Crossroads_(1937_film)","Crossroads (1937 film)","1937 films","Zhao Dan"
"http://dbpedia.org/resource/Courage_(1930_film)","Courage (1930 film)","1930 films","Rex Bell"
"http://dbpedia.org/resource/Cosmopolis_(film)","Cosmopolis (film)","2012 films","Sarah Gadon"
"http://dbpedia.org/resource/Crossroads_(2002_film)","Crossroads (2002 film)","2002 films","Britney Spears"
"http://dbpedia.org/resource/Crackerjack_(2002_film)","Crackerjack (2002 film)","2002 films","John Clarke (satirist)"
"http://dbpedia.org/resource/Courier_(film)","Courier (film)","1987 films","Oleg Basilashvili"
"http://dbpedia.org/resource/Crackerjack_(1938_film)","Crackerjack (1938 film)","1938 films","Lilli Palmer"
"http://dbpedia.org/resource/Crossroads_(2002_film)","Crossroads (2002 film)","2002 films","Zoe Saldana"
"http://dbpedia.org/resource/Cosmopolis_(film)","Cosmopolis (film)","2012 films","Samantha Morton"
"http://dbpedia.org/resource/Crossroads_(1942_film)","Crossroads (1942 film)","1942 films","Claire Trevor"
"http://dbpedia.org/resource/Crossroads_(1942_film)","Crossroads (1942 film)","1942 films","William Powell"
"http://dbpedia.org/resource/CrossBones_(film)","CrossBones (film)","2005 films","Jessie Camacho"
"http://dbpedia.org/resource/Crossroads_(1937_film)","Crossroads (1937 film)","1937 films","Bai Yang"
"http://dbpedia.org/resource/Crossroads_(1942_film)","Crossroads (1942 film)","1942 films","Basil Rathbone"
"http://dbpedia.org/resource/Courage_(1930_film)","Courage (1930 film)","1930 films","Belle Bennett"
"http://dbpedia.org/resource/Crackerjack_(1938_film)","Crackerjack (1938 film)","1938 films","Noel Madison"
"http://dbpedia.org/resource/Cosmopolis_(film)","Cosmopolis (film)","2012 films","Mathieu Amalric"
"http://dbpedia.org/resource/Crossroads_(2002_film)","Crossroads (2002 film)","2002 films","Taryn Manning"
"http://dbpedia.org/resource/Country_Air_(film)","Country Air (film)","1933 films","Erminio Macario"
"http://dbpedia.org/resource/CrossBones_(film)","CrossBones (film)","2005 films","Hardy-Ames Hill"
"http://dbpedia.org/resource/Crossroads_(1942_film)","Crossroads (1942 film)","1942 films","Hedy Lamarr"
"http://dbpedia.org/resource/Critical_Condition_(film)","Critical Condition (film)","1987 films","Richard Pryor"
"http://dbpedia.org/resource/Cosmopolis_(film)","Cosmopolis (film)","2012 films","Paul Giamatti"
"http://dbpedia.org/resource/Crossroads_(2002_film)","Crossroads (2002 film)","2002 films","Kim Cattrall"
"http://dbpedia.org/resource/Crackerjack_(2002_film)","Crackerjack (2002 film)","2002 films","Bob Hornery"
"http://dbpedia.org/resource/Crossroads_(2002_film)","Crossroads (2002 film)","2002 films","Anson Mount"
"http://dbpedia.org/resource/Crossroads_(1986_film)","Crossroads (1986 film)","1986 films","Joe Seneca"
"http://dbpedia.org/resource/Cosmopolis_(film)","Cosmopolis (film)","2012 films","Kevin Durand"
"http://dbpedia.org/resource/Crackerjack_(2002_film)","Crackerjack (2002 film)","2002 films","Monica Maughan"
"http://dbpedia.org/resource/Courage_(1930_film)","Courage (1930 film)","1930 films","Marian Nixon"
"http://dbpedia.org/resource/Crackerjack_(2002_film)","Crackerjack (2002 film)","2002 films","Frank Wilson (Australian actor)"
"http://dbpedia.org/resource/Crackerjack_(2002_film)","Crackerjack (2002 film)","2002 films","Mick Molloy"
"http://dbpedia.org/resource/Courage_(1930_film)","Courage (1930 film)","1930 films","Leon Janney"
"http://dbpedia.org/resource/Crossroads_(1986_film)","Crossroads (1986 film)","1986 films","Ralph Macchio"
"http://dbpedia.org/resource/Courage_(1930_film)","Courage (1930 film)","1930 films","Richard Tucker (actor)"
"http://dbpedia.org/resource/Cosmopolis_(film)","Cosmopolis (film)","2012 films","Jay Baruchel"
"http://dbpedia.org/resource/Courier_(film)","Courier (film)","1987 films","Inna Churikova"
"http://dbpedia.org/resource/Crackerjack_(2002_film)","Crackerjack (2002 film)","2002 films","Bill Hunter (actor)"
"http://dbpedia.org/resource/Crossroads_(1986_film)","Crossroads (1986 film)","1986 films","Jami Gertz"
"http://dbpedia.org/resource/Country_Air_(film)","Country Air (film)","1933 films","Laura Adani"
"http://dbpedia.org/resource/Crackerjack_(1938_film)","Crackerjack (1938 film)","1938 films","Leon M. Lion"
"http://dbpedia.org/resource/Crackerjack_(2002_film)","Crackerjack (2002 film)","2002 films","Lois Ramsay"
"http://dbpedia.org/resource/CrossBones_(film)","CrossBones (film)","2005 films","Joseph Marino"
"http://dbpedia.org/resource/Dada_(1979_film)","Dada (1979 film)","1979 films","Amjad Khan (actor)"
"http://dbpedia.org/resource/Daens_(film)","Daens (film)","1993 films","Jan Decleir"
"http://dbpedia.org/resource/Dada_(2000_film)","Dada (2000 film)","2000 films","Deepak Shirke"
"http://dbpedia.org/resource/Dada_(2000_film)","Dada (2000 film)","2000 films","Dilip Tahil"
"http://dbpedia.org/resource/Dada_(2000_film)","Dada (2000 film)","2000 films","Raza Murad"
"http://dbpedia.org/resource/Dada_(1979_film)","Dada (1979 film)","1979 films","Shashi Puri"
"http://dbpedia.org/resource/Daredevil_(film)","Daredevil (film)","2003 films","David Keith"
"http://dbpedia.org/resource/Dada_(1979_film)","Dada (1979 film)","1979 films","Vinod Mehra"
"http://dbpedia.org/resource/Daredevil_(film)","Daredevil (film)","2003 films","Michael Clarke Duncan"
"http://dbpedia.org/resource/Daredevil_(film)","Daredevil (film)","2003 films","Joe Pantoliano"
"http://dbpedia.org/resource/Dada_(1979_film)","Dada (1979 film)","1979 films","Bindiya Goswami"
"http://dbpedia.org/resource/Dada_(2000_film)","Dada (2000 film)","2000 films","Mithun Chakraborty"
"http://dbpedia.org/resource/Dada_(2005_film)","Dada (2005 film)","2005 films","Mithun Chakraborty"
"http://dbpedia.org/resource/Dada_(2005_film)","Dada (2005 film)","2005 films","Rambha (actress)"
"http://dbpedia.org/resource/Dada_(2000_film)","Dada (2000 film)","2000 films","Rami Reddy (actor)"
"http://dbpedia.org/resource/Crossroads_(1992_TV_series)","Crossroads (1992 TV series)",,"Robert Urich"
"http://dbpedia.org/resource/Cutters_(TV_series)","Cutters (TV series)",,"Robert Hays"
"http://dbpedia.org/resource/Cuffs_(TV_series)","Cuffs (TV series)",,"Alex Carter (British actor)"
"http://dbpedia.org/resource/Conviction_(2016_TV_series)","Conviction (2016 TV series)",,"Emily Kinney"
"http://dbpedia.org/resource/Conviction_(2006_TV_series)","Conviction (2006 TV series)",,"Milena Govich"
"http://dbpedia.org/resource/Daredevil_(TV_series)","Daredevil (TV series)",,"Deborah Ann Woll"
"http://dbpedia.org/resource/Crossbones_(TV_series)","Crossbones (TV series)",,"John Malkovich"
"http://dbpedia.org/resource/Conflict_(1978_TV_series)","Conflict (1978 TV series)",,"Chow Yun-fat"
"http://dbpedia.org/resource/Copenhagen_(2002_film)","Copenhagen (2002 film)",,"Francesca Annis"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Paul Henry (actor)"
"http://dbpedia.org/resource/Conviction_(2004_TV_series)","Conviction (2004 TV series)",,"William Ash (actor)"
"http://dbpedia.org/resource/Conflict_(1978_TV_series)","Conflict (1978 TV series)",,"Angie Chiu"
"http://dbpedia.org/resource/Conviction_(2016_TV_series)","Conviction (2016 TV series)",,"Hayley Atwell"
"http://dbpedia.org/resource/DC_Showcase:_The_Spectre","DC Showcase: The Spectre",,"Jeff Bennett"
"http://dbpedia.org/resource/Come_Fly_with_Me_(2010_TV_series)","Come Fly with Me (2010 TV series)",,"Matt Lucas"
"http://dbpedia.org/resource/Daredevil_(TV_series)","Daredevil (TV series)",,"Rosario Dawson"
"http://dbpedia.org/resource/Cucumber_(TV_series)","Cucumber (TV series)",,"Cyril Nri"
"http://dbpedia.org/resource/Crossroads_(1992_TV_series)","Crossroads (1992 TV series)",,"Dalton James"
"http://dbpedia.org/resource/Daredevil_(TV_series)","Daredevil (TV series)",,"Jon Bernthal"
"http://dbpedia.org/resource/Cuffs_(TV_series)","Cuffs (TV series)",,"Amanda Abbington"
"http://dbpedia.org/resource/Crossbones_(TV_series)","Crossbones (TV series)",,"Richard Coyle"
"http://dbpedia.org/resource/Copenhagen_(2002_film)","Copenhagen (2002 film)",,"Stephen Rea"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Tony Adams (actor)"
"http://dbpedia.org/resource/Cuffs_(TV_series)","Cuffs (TV series)",,"Shaun Dooley"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Kathy Staff"
"http://dbpedia.org/resource/Conviction_(2006_TV_series)","Conviction (2006 TV series)",,"Julianne Nicholson"
"http://dbpedia.org/resource/Crown_Heights_(film)","Crown Heights (film)",,"Nestor Carbonell"
"http://dbpedia.org/resource/Daredevil_(TV_series)","Daredevil (TV series)",,"Bob Gunton"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Gabrielle Drake"
"http://dbpedia.org/resource/Conviction_(2016_TV_series)","Conviction (2016 TV series)",,"Manny Montana"
"http://dbpedia.org/resource/Crossbones_(TV_series)","Crossbones (TV series)",,"Claire Foy"
"http://dbpedia.org/resource/Cuffs_(TV_series)","Cuffs (TV series)",,"Peter Sullivan (actor)"
"http://dbpedia.org/resource/Conviction_(2004_TV_series)","Conviction (2004 TV series)",,"Jason Watkins (actor)"
"http://dbpedia.org/resource/Conviction_(2016_TV_series)","Conviction (2016 TV series)",,"Daniel Franzese"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Zeph Gladstone"
"http://dbpedia.org/resource/Crown_Heights_(film)","Crown Heights (film)",,"Nnamdi Asomugha"
"http://dbpedia.org/resource/Conflict_(1978_TV_series)","Conflict (1978 TV series)",,"Stanley Fung"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Jane Gurnett"
"http://dbpedia.org/resource/Conviction_(2016_TV_series)","Conviction (2016 TV series)",,"Merrin Dungey"
"http://dbpedia.org/resource/Conviction_(2004_TV_series)","Conviction (2004 TV series)",,"Laura Fraser"
"http://dbpedia.org/resource/Conviction_(2004_TV_series)","Conviction (2004 TV series)",,"Nicholas Gleaves"
"http://dbpedia.org/resource/Daredevil_(TV_series)","Daredevil (TV series)",,"Toby Leonard Moore"
"http://dbpedia.org/resource/Cucumber_(TV_series)","Cucumber (TV series)",,"James Murray (English actor)"
"http://dbpedia.org/resource/Cucumber_(TV_series)","Cucumber (TV series)",,"Freddie Fox (actor)"
"http://dbpedia.org/resource/Come_Fly_with_Me_(2010_TV_series)","Come Fly with Me (2010 TV series)",,"David Walliams"
"http://dbpedia.org/resource/Conviction_(2004_TV_series)","Conviction (2004 TV series)",,"David Warner (actor)"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Jane Asher"
"http://dbpedia.org/resource/DC_Showcase:_The_Spectre","DC Showcase: The Spectre",,"Rob Paulsen"
"http://dbpedia.org/resource/Daredevil_(TV_series)","Daredevil (TV series)",,"Vincent D'Onofrio"
"http://dbpedia.org/resource/DC_Showcase:_The_Spectre","DC Showcase: The Spectre",,"Alyssa Milano"
"http://dbpedia.org/resource/Cuffs_(TV_series)","Cuffs (TV series)",,"Ashley Walters"
"http://dbpedia.org/resource/DC_Showcase:_The_Spectre","DC Showcase: The Spectre",,"Gary Cole"
"http://dbpedia.org/resource/Conviction_(2006_TV_series)","Conviction (2006 TV series)",,"Jordan Bridges"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Noele Gordon"
"http://dbpedia.org/resource/Conviction_(2006_TV_series)","Conviction (2006 TV series)",,"Stephanie March"
"http://dbpedia.org/resource/Conviction_(2006_TV_series)","Conviction (2006 TV series)",,"J. August Richards"
"http://dbpedia.org/resource/Conviction_(2004_TV_series)","Conviction (2004 TV series)",,"Ian Puleston-Davies"
"http://dbpedia.org/resource/Conviction_(2006_TV_series)","Conviction (2006 TV series)",,"Anson Mount"
"http://dbpedia.org/resource/Cutters_(TV_series)","Cutters (TV series)",,"Dakin Matthews"
"http://dbpedia.org/resource/Conviction_(2004_TV_series)","Conviction (2004 TV series)",,"Reece Dinsdale"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Ann George"
"http://dbpedia.org/resource/Colditz_(TV_series)","Colditz (TV series)",,"Anthony Valentine"
"http://dbpedia.org/resource/Daredevil_(TV_series)","Daredevil (TV series)",,"Charlie Cox"
"http://dbpedia.org/resource/Cuffs_(TV_series)","Cuffs (TV series)",,"Eleanor Matsuura"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Maria Charles"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Sue Lloyd"
"http://dbpedia.org/resource/Crown_Heights_(film)","Crown Heights (film)",,"Ron Canada"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Susan Hanson"
"http://dbpedia.org/resource/Conviction_(2004_TV_series)","Conviction (2004 TV series)",,"Zoe Henry"
"http://dbpedia.org/resource/Copenhagen_(2002_film)","Copenhagen (2002 film)",,"Daniel Craig"
"http://dbpedia.org/resource/Cuffs_(TV_series)","Cuffs (TV series)",,"Jacob Ifan"
"http://dbpedia.org/resource/Conviction_(2006_TV_series)","Conviction (2006 TV series)",,"Eric Balfour"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Jane Rossington"
"http://dbpedia.org/resource/Cucumber_(TV_series)","Cucumber (TV series)",,"Julie Hesmondhalgh"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Roger Tonge"
"http://dbpedia.org/resource/Crossbones_(TV_series)","Crossbones (TV series)",,"Chris Perfetti"
"http://dbpedia.org/resource/Conviction_(2016_TV_series)","Conviction (2016 TV series)",,"Eddie Cahill"
"http://dbpedia.org/resource/Conviction_(2016_TV_series)","Conviction (2016 TV series)",,"Shawn Ashmore"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Terence Rigby"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Ronald Allen"
"http://dbpedia.org/resource/Crown_Heights_(film)","Crown Heights (film)",,"Gbenga Akinnagbe"
"http://dbpedia.org/resource/Daredevil_(TV_series)","Daredevil (TV series)",,"Élodie Yung"
"http://dbpedia.org/resource/Daredevil_(TV_series)","Daredevil (TV series)",,"Vondie Curtis-Hall"
"http://dbpedia.org/resource/Cuffs_(TV_series)","Cuffs (TV series)",,"Paul Ready"
"http://dbpedia.org/resource/Crossbones_(TV_series)","Crossbones (TV series)",,"Tracy Ifeachor"
"http://dbpedia.org/resource/Crown_Heights_(film)","Crown Heights (film)",,"Keith Stanfield"
"http://dbpedia.org/resource/Crown_Heights_(film)","Crown Heights (film)",,"Sarah Goldberg"
"http://dbpedia.org/resource/Daredevil_(TV_series)","Daredevil (TV series)",,"Elden Henson"
"http://dbpedia.org/resource/Cucumber_(TV_series)","Cucumber (TV series)",,"Con O'Neill (actor)"
"http://dbpedia.org/resource/DC_Showcase:_The_Spectre","DC Showcase: The Spectre",,"Jon Polito"
"http://dbpedia.org/resource/Crown_Heights_(film)","Crown Heights (film)",,"Josh Pais"
"http://dbpedia.org/resource/Daredevil_(TV_series)","Daredevil (TV series)",,"Ayelet Zurer"
"http://dbpedia.org/resource/Colditz_(TV_series)","Colditz (TV series)",,"Jack Hedley"
"http://dbpedia.org/resource/Crossroads_(soap_opera)","Crossroads (soap opera)",,"Carl Andrews (actor)"
"http://dbpedia.org/resource/Crossbones_(TV_series)","Crossbones (TV series)",,"David Hoflin"
"http://dbpedia.org/resource/Cucumber_(TV_series)","Cucumber (TV series)",,"Vincent Franklin"
"http://dbpedia.org/resource/Daredevil_(TV_series)","Daredevil (TV series)",,"Stephen Rider"
"http://dbpedia.org/resource/Conflict_(1978_TV_series)","Conflict (1978 TV series)",,"Bill Chan"
"http://dbpedia.org/resource/Crossbones_(TV_series)","Crossbones (TV series)",,"Yasmine Al Masri"
"http://dbpedia.org/resource/Dark_Kingdom:_The_Dragon_King","Dark Kingdom: The Dragon King","2004 films","Alicia Witt"
"http://dbpedia.org/resource/Death_in_Venice_(film)","Death in Venice (film)","1971 films","Mark Burns (actor)"
"http://dbpedia.org/resource/Deadlock_(1931_film)","Deadlock (1931 film)","1931 films","Stewart Rome"
"http://dbpedia.org/resource/Death_in_Venice_(film)","Death in Venice (film)","1971 films","Romolo Valli"
"http://dbpedia.org/resource/Dawg_(film)","Dawg (film)","2002 films","Denis Leary"
