"uri","band_name","member_name","former_member_name","hometown_name","year"
"http://dbpedia.org/resource/Thrum_(band)","Thrum (band)","Monica Queen","Dave McGowan",,
"http://dbpedia.org/resource/Tsar_(band)","Tsar (band)","Guitar","Bass Guitar",,
"http://dbpedia.org/resource/Tsar_(band)","Tsar (band)","Guitar","Drum kit",,
"http://dbpedia.org/resource/Nemhain_(band)","Nemhain (band)","Adrian Erlandsson","Liv Boeree",,
"http://dbpedia.org/resource/The_Drifters_(Japanese_band)","The Drifters (Japanese band)","Cha Kato","Chōsuke Ikariya",,
"http://dbpedia.org/resource/The_Drifters_(Japanese_band)","The Drifters (Japanese band)","Ken Shimura","Chōsuke Ikariya",,
"http://dbpedia.org/resource/Tsar_(band)","Tsar (band)","Bass Guitar","Bass Guitar",,
"http://dbpedia.org/resource/Tsar_(band)","Tsar (band)","Bass Guitar","Drum kit",,
"http://dbpedia.org/resource/Tsar_(band)","Tsar (band)","Steve Coulter (musician)","Bass Guitar",,
"http://dbpedia.org/resource/Tsar_(band)","Tsar (band)","Steve Coulter (musician)","Drum kit",,
"http://dbpedia.org/resource/My_Jerusalem","My Jerusalem","Jeff Klein","Ashley Dzerigian","Austin, Texas",2010
"http://dbpedia.org/resource/Flying_Other_Brothers","Flying Other Brothers","Roger McNamee","Ann McNamee","San Francisco",1997
"http://dbpedia.org/resource/Flying_Other_Brothers","Flying Other Brothers","Roger McNamee","G.E. Smith","San Francisco",1997
"http://dbpedia.org/resource/Flying_Other_Brothers","Flying Other Brothers","Roger McNamee","Barry Sless","San Francisco",1997
"http://dbpedia.org/resource/Flying_Other_Brothers","Flying Other Brothers","Roger McNamee","Pete Sears","San Francisco",1997
"http://dbpedia.org/resource/Flying_Other_Brothers","Flying Other Brothers","Tony Bove","Barry Sless","San Francisco",1997
"http://dbpedia.org/resource/Flying_Other_Brothers","Flying Other Brothers","Tony Bove","Ann McNamee","San Francisco",1997
"http://dbpedia.org/resource/Flying_Other_Brothers","Flying Other Brothers","Tony Bove","G.E. Smith","San Francisco",1997
"http://dbpedia.org/resource/Flying_Other_Brothers","Flying Other Brothers","Tony Bove","Pete Sears","San Francisco",1997
"http://dbpedia.org/resource/False_Alarm_(band)","False Alarm (band)","Paul Kostabi","Mike Burkett","Los Angeles",1982
"http://dbpedia.org/resource/Neighborhood_Texture_Jam","Neighborhood Texture Jam","Lead vocals","Drumkit",,
"http://dbpedia.org/resource/Neighborhood_Texture_Jam","Neighborhood Texture Jam","Lead vocals","Guitar",,
"http://dbpedia.org/resource/Moonalice","Moonalice","Barry Sless","G. E. Smith",,
"http://dbpedia.org/resource/Moonalice","Moonalice","Barry Sless","Ann McNamee",,
"http://dbpedia.org/resource/Neighborhood_Texture_Jam","Neighborhood Texture Jam","Paul Buchignani","Guitar",,
"http://dbpedia.org/resource/Neighborhood_Texture_Jam","Neighborhood Texture Jam","Paul Buchignani","Drumkit",,
"http://dbpedia.org/resource/Neighborhood_Texture_Jam","Neighborhood Texture Jam","Bass guitar","Guitar",,
"http://dbpedia.org/resource/Neighborhood_Texture_Jam","Neighborhood Texture Jam","Bass guitar","Drumkit",,
"http://dbpedia.org/resource/Neighborhood_Texture_Jam","Neighborhood Texture Jam","Guitar","Drumkit",,
"http://dbpedia.org/resource/Neighborhood_Texture_Jam","Neighborhood Texture Jam","Guitar","Guitar",,
"http://dbpedia.org/resource/Jello_Biafra_and_the_Guantanamo_School_of_Medicine","Jello Biafra and the Guantanamo School of Medicine","Jello Biafra","Andrew Weiss (guitarist)",,
"http://dbpedia.org/resource/Jello_Biafra_and_the_Guantanamo_School_of_Medicine","Jello Biafra and the Guantanamo School of Medicine","Jello Biafra","Billy Gould",,
"http://dbpedia.org/resource/Moonalice","Moonalice","Roger McNamee","G. E. Smith",,
"http://dbpedia.org/resource/Moonalice","Moonalice","Roger McNamee","Ann McNamee",,
"http://dbpedia.org/resource/Moonalice","Moonalice","John Molo","Ann McNamee",,
"http://dbpedia.org/resource/Moonalice","Moonalice","John Molo","G. E. Smith",,
"http://dbpedia.org/resource/Bob_Delyn_a'r_Ebillion","Bob Delyn a'r Ebillion","Twm Morys","Nolwenn Korbell",,
"http://dbpedia.org/resource/Bob_Delyn_a'r_Ebillion","Bob Delyn a'r Ebillion","Edwin Humphreys","Nolwenn Korbell",,
"http://dbpedia.org/resource/Moonalice","Moonalice","Pete Sears","G. E. Smith",,
"http://dbpedia.org/resource/Moonalice","Moonalice","Pete Sears","Ann McNamee",,
"http://dbpedia.org/resource/Heavy_Metal_Kids","Heavy Metal Kids","Cosmo (musician)","Mickey Finn (guitarist)",,
"http://dbpedia.org/resource/Heavy_Metal_Kids","Heavy Metal Kids","Cosmo (musician)","John Altman (actor)",,
"http://dbpedia.org/resource/Heavy_Metal_Kids","Heavy Metal Kids","Cosmo (musician)","Danny Peyronel",,
"http://dbpedia.org/resource/Heavy_Metal_Kids","Heavy Metal Kids","Cosmo (musician)","Dave Dee",,
"http://dbpedia.org/resource/Heavy_Metal_Kids","Heavy Metal Kids","Cosmo (musician)","John Sinclair (musician)",,
"http://dbpedia.org/resource/Heavy_Metal_Kids","Heavy Metal Kids","Cosmo (musician)","Gary Holton",,
"http://dbpedia.org/resource/Heavy_Metal_Kids","Heavy Metal Kids","Cosmo (musician)","Phil Lewis",,
"http://dbpedia.org/resource/Hepcat_(band)","Hepcat (band)","Alex Désert","Dave Hillyard",,
"http://dbpedia.org/resource/The_Axemen","The Axemen","Stuart Page","The Puddle","Christchurch",1983
"http://dbpedia.org/resource/14_Bis_(band)","14 Bis (band)","Cláudio Venturini","Flávio Venturini",,
"http://dbpedia.org/resource/Kottak","Kottak","James Kottak","Athena Lee","Los Angeles",1996
"http://dbpedia.org/resource/De_Press","De Press","Andrzej Dziubek","Ola Snortheim",,
"http://dbpedia.org/resource/De_Press","De Press","Andrzej Dziubek","Jørn Christensen",,
"http://dbpedia.org/resource/Creedle","Creedle","Rob Crow","Robert Walter (musician)",,
"http://dbpedia.org/resource/Girlschool","Girlschool","List of Girlschool band members","Cris Bonacci",,
"http://dbpedia.org/resource/Girlschool","Girlschool","List of Girlschool band members","List of Girlschool band members",,
"http://dbpedia.org/resource/Girlschool","Girlschool","List of Girlschool band members","Kelly Johnson (guitarist)",,
"http://dbpedia.org/resource/Mickey_Finn's_T-Rex","Mickey Finn's T-Rex","Graham Oliver","Rob Benson",,
"http://dbpedia.org/resource/Mickey_Finn's_T-Rex","Mickey Finn's T-Rex","Graham Oliver","Mickey Finn (musician)",,
"http://dbpedia.org/resource/Mickey_Finn's_T-Rex","Mickey Finn's T-Rex","Graham Oliver","Alan Silson",,
"http://dbpedia.org/resource/Mickey_Finn's_T-Rex","Mickey Finn's T-Rex","Graham Oliver","Jack Green (musician)",,
"http://dbpedia.org/resource/Mickey_Finn's_T-Rex","Mickey Finn's T-Rex","Paul Fenton (musician)","Alan Silson",,
"http://dbpedia.org/resource/Mickey_Finn's_T-Rex","Mickey Finn's T-Rex","Paul Fenton (musician)","Jack Green (musician)",,
"http://dbpedia.org/resource/Mickey_Finn's_T-Rex","Mickey Finn's T-Rex","Paul Fenton (musician)","Mickey Finn (musician)",,
"http://dbpedia.org/resource/Mickey_Finn's_T-Rex","Mickey Finn's T-Rex","Paul Fenton (musician)","Rob Benson",,
"http://dbpedia.org/resource/The_Carpet_Frogs","The Carpet Frogs","Jeff Jones (musician)","Greg Godovitz","Toronto",1994
"http://dbpedia.org/resource/The_Jaggerz","The Jaggerz","Jimmie Ross","Frank Czuri","Pittsburgh",1964
"http://dbpedia.org/resource/The_Jaggerz","The Jaggerz","Jimmie Ross","Donnie Iris","Pittsburgh",1964
"http://dbpedia.org/resource/The_Silencers_(band)","The Silencers (band)","Jimme O'Neill","Martin Hanlin",,
"http://dbpedia.org/resource/The_Silencers_(band)","The Silencers (band)","Jimme O'Neill","Cha Burns",,
"http://dbpedia.org/resource/Ten_Hands_(band)","Ten Hands (band)","Mike Dillon (musician)","Earl Harvin",,
"http://dbpedia.org/resource/Ten_Hands_(band)","Ten Hands (band)","Mike Dillon (musician)","Matt Chamberlain",,
"http://dbpedia.org/resource/Ten_Hands_(band)","Ten Hands (band)","J. Paul Slavens","Matt Chamberlain",,
"http://dbpedia.org/resource/Ten_Hands_(band)","Ten Hands (band)","J. Paul Slavens","Earl Harvin",,
"http://dbpedia.org/resource/Suit_of_Lights","Suit of Lights","Joe Darone","James Egan",,
"http://dbpedia.org/resource/Suit_of_Lights","Suit of Lights","Joe Darone","Steve Pedulla",,
"http://dbpedia.org/resource/Suit_of_Lights","Suit of Lights","Joe Darone","Trevor Dunn",,
"http://dbpedia.org/resource/The_Teenagers","The Teenagers","Herman Santiago","Jimmy Castor",,
"http://dbpedia.org/resource/The_Teenagers","The Teenagers","Herman Santiago","Frankie Lymon",,
"http://dbpedia.org/resource/The_Teenagers","The Teenagers","Herman Santiago","Joe Negroni",,
"http://dbpedia.org/resource/Zappa_Plays_Zappa","Zappa Plays Zappa","Dweezil Zappa","Jamie Kime",,
"http://dbpedia.org/resource/Fiel_a_la_Vega","Fiel a la Vega","Ricky Laureano","Papo Román",,
"http://dbpedia.org/resource/Fiel_a_la_Vega","Fiel a la Vega","Tito Auger","Papo Román",,
"http://dbpedia.org/resource/Fiel_a_la_Vega","Fiel a la Vega","Jorge Arraiza","Papo Román",,
"http://dbpedia.org/resource/Fiel_a_la_Vega","Fiel a la Vega","Pedro Arraiza","Papo Román",,
"http://dbpedia.org/resource/Zappa_Plays_Zappa","Zappa Plays Zappa","Scheila Gonzalez","Jamie Kime",,
"http://dbpedia.org/resource/Chapter_14","Chapter 14","Chad Ackerman","Joel Piper",,
"http://dbpedia.org/resource/Chapter_14","Chapter 14","Tanner Sparks","Joel Piper",,
"http://dbpedia.org/resource/Chilliwack_(band)","Chilliwack (band)","Bill Henderson (Canadian singer)","Brian MacLeod (Canadian musician)","Vancouver",1970
"http://dbpedia.org/resource/Chilliwack_(band)","Chilliwack (band)","Bill Henderson (Canadian singer)","Claire Lawrence","Vancouver",1970
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Bruce Springsteen","Ernest Carter (drummer)",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Bruce Springsteen","Clarence Clemons",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Bruce Springsteen","Danny Federici",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Bruce Springsteen","Vini Lopez",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Bruce Springsteen","Suki Lahav",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Bruce Springsteen","David Sancious",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Max Weinberg","Ernest Carter (drummer)",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Max Weinberg","Clarence Clemons",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Max Weinberg","Danny Federici",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Max Weinberg","Vini Lopez",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Max Weinberg","Suki Lahav",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Max Weinberg","David Sancious",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Nils Lofgren","Ernest Carter (drummer)",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Nils Lofgren","Clarence Clemons",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Nils Lofgren","Danny Federici",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Nils Lofgren","Vini Lopez",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Nils Lofgren","Suki Lahav",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Nils Lofgren","David Sancious",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Patti Scialfa","Ernest Carter (drummer)",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Patti Scialfa","Clarence Clemons",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Patti Scialfa","Danny Federici",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Patti Scialfa","Vini Lopez",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Patti Scialfa","Suki Lahav",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Patti Scialfa","David Sancious",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Steven Van Zandt","Ernest Carter (drummer)",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Steven Van Zandt","Clarence Clemons",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Steven Van Zandt","Danny Federici",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Steven Van Zandt","Vini Lopez",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Steven Van Zandt","Suki Lahav",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Steven Van Zandt","David Sancious",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Garry Tallent","Ernest Carter (drummer)",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Garry Tallent","Clarence Clemons",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Garry Tallent","Danny Federici",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Garry Tallent","Vini Lopez",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Garry Tallent","Suki Lahav",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Garry Tallent","David Sancious",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Roy Bittan","Ernest Carter (drummer)",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Roy Bittan","Clarence Clemons",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Roy Bittan","Danny Federici",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Roy Bittan","Vini Lopez",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Roy Bittan","Suki Lahav",,
"http://dbpedia.org/resource/E_Street_Band","E Street Band","Roy Bittan","David Sancious",,
"http://dbpedia.org/resource/Exile_(American_band)","Exile (American band)","J.P. Pennington","Mark Gray (singer)","Richmond, Kentucky",1963
"http://dbpedia.org/resource/Exile_(American_band)","Exile (American band)","Les Taylor (singer)","Mark Gray (singer)","Richmond, Kentucky",1963
"http://dbpedia.org/resource/JAM_Project","JAM Project","Hironobu Kageyama","Ichirou Mizuki",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Hironobu Kageyama","Eizo Sakamoto",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Hironobu Kageyama","Rica Matsumoto",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Hiroshi Kitadani","Eizo Sakamoto",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Hiroshi Kitadani","Rica Matsumoto",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Hiroshi Kitadani","Ichirou Mizuki",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Masami Okui","Ichirou Mizuki",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Masami Okui","Rica Matsumoto",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Masami Okui","Eizo Sakamoto",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Masaaki Endoh","Rica Matsumoto",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Masaaki Endoh","Eizo Sakamoto",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Masaaki Endoh","Ichirou Mizuki",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Yoshiki Fukuyama","Rica Matsumoto",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Yoshiki Fukuyama","Eizo Sakamoto",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Yoshiki Fukuyama","Ichirou Mizuki",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Ricardo Cruz (vocalist)","Ichirou Mizuki",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Ricardo Cruz (vocalist)","Eizo Sakamoto",,
"http://dbpedia.org/resource/JAM_Project","JAM Project","Ricardo Cruz (vocalist)","Rica Matsumoto",,
"http://dbpedia.org/resource/Lazy_(band)","Lazy (band)","Hironobu Kageyama","Munetaka Higuchi","Osaka",1977
"http://dbpedia.org/resource/Lazy_(band)","Lazy (band)","Akira Takasaki","Munetaka Higuchi","Osaka",1977
"http://dbpedia.org/resource/Marah_(band)","Marah (band)","Dave Petersen","Mark Boyce (singer)",,
"http://dbpedia.org/resource/Marah_(band)","Marah (band)","Dave Petersen","Jon Wurster",,
"http://dbpedia.org/resource/Marah_(band)","Marah (band)","Dave Petersen","Jamie Mahon",,
"http://dbpedia.org/resource/Marah_(band)","Marah (band)","Dave Petersen","Mike Brenner",,
"http://dbpedia.org/resource/Player_(band)","Player (band)","Peter Beckett","Elliot Easton",,
"http://dbpedia.org/resource/Player_(band)","Player (band)","Peter Beckett","Burleigh Drummond",,
"http://dbpedia.org/resource/Player_(band)","Player (band)","Peter Beckett","J.C. Crowley",,
"http://dbpedia.org/resource/Player_(band)","Player (band)","Peter Beckett","Tony Sciuto",,
"http://dbpedia.org/resource/Player_(band)","Player (band)","Peter Beckett","Craig Pilo",,
"http://dbpedia.org/resource/Player_(band)","Player (band)","Ronn Moss","J.C. Crowley",,
"http://dbpedia.org/resource/Player_(band)","Player (band)","Ronn Moss","Elliot Easton",,
