"uri","name"
"http://dbpedia.org/resource/John_H._Wilson_(Hawaii)","John H. Wilson (Hawaii)"
"http://dbpedia.org/resource/Walter_J._Stoessel_Jr.","Walter J. Stoessel Jr."
"http://dbpedia.org/resource/Jan_Laverty_Jones","Jan Laverty Jones"
"http://dbpedia.org/resource/Kathleen_Brown","Kathleen Brown"
"http://dbpedia.org/resource/Steve_Bing","Steve Bing"
"http://dbpedia.org/resource/Quinn_McNemar","Quinn McNemar"
"http://dbpedia.org/resource/John_Jay_O'Connor","John Jay O'Connor"
"http://dbpedia.org/resource/Alexander_Gonzalez","Alexander Gonzalez"
"http://dbpedia.org/resource/Joseph_H._Eberly","Joseph H. Eberly"
"http://dbpedia.org/resource/Josephine_Dillon","Josephine Dillon"
"http://dbpedia.org/resource/Mary_Carskadon","Mary Carskadon"
"http://dbpedia.org/resource/Robert_H._Shapiro","Robert H. Shapiro"
"http://dbpedia.org/resource/Joanna_Pruess","Joanna Pruess"
"http://dbpedia.org/resource/Michael_Bruno","Michael Bruno"
"http://dbpedia.org/resource/Norman_H._Nie","Norman H. Nie"
"http://dbpedia.org/resource/Bryna_Kra","Bryna Kra"
"http://dbpedia.org/resource/Jonathan_Pila","Jonathan Pila"
"http://dbpedia.org/resource/Karl_Deisseroth","Karl Deisseroth"
"http://dbpedia.org/resource/Robert_Schimke","Robert Schimke"
"http://dbpedia.org/resource/Robert_W._McElroy","Robert W. McElroy"
"http://dbpedia.org/resource/Ronald_Vale","Ronald Vale"
"http://dbpedia.org/resource/Sally_Shlaer","Sally Shlaer"
"http://dbpedia.org/resource/Scott_Sheffield","Scott Sheffield"
"http://dbpedia.org/resource/Bill_Lane_(publisher)","Bill Lane (publisher)"
"http://dbpedia.org/resource/Dean_Jamison","Dean Jamison"
"http://dbpedia.org/resource/Gary_M._Mavko","Gary M. Mavko"
"http://dbpedia.org/resource/James_C._Bliss","James C. Bliss"
"http://dbpedia.org/resource/Justin_Rosenstein","Justin Rosenstein"
"http://dbpedia.org/resource/Kenneth_S._Suslick","Kenneth S. Suslick"
"http://dbpedia.org/resource/Michael_Kazin","Michael Kazin"
"http://dbpedia.org/resource/Roscoe_Giles","Roscoe Giles"
"http://dbpedia.org/resource/Ali_Hajimiri","Ali Hajimiri"
"http://dbpedia.org/resource/Brent_R._Appel","Brent R. Appel"
"http://dbpedia.org/resource/Dick_Haugland","Dick Haugland"
"http://dbpedia.org/resource/Jitendra_Malik","Jitendra Malik"
"http://dbpedia.org/resource/Mariano-Florentino_Cuéllar","Mariano-Florentino Cuéllar"
"http://dbpedia.org/resource/Max_Crawford_(writer)","Max Crawford (writer)"
"http://dbpedia.org/resource/Salar_Kamangar","Salar Kamangar"
"http://dbpedia.org/resource/Ted_Nace","Ted Nace"
"http://dbpedia.org/resource/Thom_Weisel","Thom Weisel"
"http://dbpedia.org/resource/Adrienne_Russell","Adrienne Russell"
"http://dbpedia.org/resource/Hans_Fränkel","Hans Fränkel"
"http://dbpedia.org/resource/Marie-Therese_Connolly","Marie-Therese Connolly"
"http://dbpedia.org/resource/Nir_Friedman","Nir Friedman"
"http://dbpedia.org/resource/Chip_Conley","Chip Conley"
"http://dbpedia.org/resource/Eddie_Basha,_Jr.","Eddie Basha, Jr."
"http://dbpedia.org/resource/Edward_Maibach","Edward Maibach"
"http://dbpedia.org/resource/Elisabeth_Targ","Elisabeth Targ"
"http://dbpedia.org/resource/Ernest_Moniz","Ernest Moniz"
"http://dbpedia.org/resource/Lawrence_Haddad","Lawrence Haddad"
"http://dbpedia.org/resource/Luis_Cabral_(economist)","Luis Cabral (economist)"
"http://dbpedia.org/resource/Mukesh_Ambani","Mukesh Ambani"
"http://dbpedia.org/resource/Sharon_Olds","Sharon Olds"
"http://dbpedia.org/resource/Taher_Elgamal","Taher Elgamal"
"http://dbpedia.org/resource/Tim_Wirth","Tim Wirth"
"http://dbpedia.org/resource/Douglas_Lenat","Douglas Lenat"
"http://dbpedia.org/resource/Gray_Davis","Gray Davis"
"http://dbpedia.org/resource/Jack_Parsons_(rocket_engineer)","Jack Parsons (rocket engineer)"
"http://dbpedia.org/resource/Armen_Alchian","Armen Alchian"
"http://dbpedia.org/resource/Byron_Preiss","Byron Preiss"
"http://dbpedia.org/resource/Charles_M._Lieber","Charles M. Lieber"
"http://dbpedia.org/resource/Claudio_Fernández-Aráoz","Claudio Fernández-Aráoz"
"http://dbpedia.org/resource/Craig_McCaw","Craig McCaw"
"http://dbpedia.org/resource/Don_Edwards","Don Edwards"
"http://dbpedia.org/resource/Jean-Lou_Chameau","Jean-Lou Chameau"
"http://dbpedia.org/resource/John_Lipsky","John Lipsky"
"http://dbpedia.org/resource/Jonathan_Veitch","Jonathan Veitch"
"http://dbpedia.org/resource/Laurence_Monroe_Klauber","Laurence Monroe Klauber"
"http://dbpedia.org/resource/Paul_G._Cassell","Paul G. Cassell"
"http://dbpedia.org/resource/Peter_Hoagland","Peter Hoagland"
"http://dbpedia.org/resource/Sundar_Pichai","Sundar Pichai"
"http://dbpedia.org/resource/Susan_McCaw","Susan McCaw"
"http://dbpedia.org/resource/William_D._McElroy","William D. McElroy"
"http://dbpedia.org/resource/Ben_Savage","Ben Savage"
"http://dbpedia.org/resource/S._Stillman_Berry","S. Stillman Berry"
"http://dbpedia.org/resource/Alan_G._Merten","Alan G. Merten"
"http://dbpedia.org/resource/Bienvenido_Nebres","Bienvenido Nebres"
"http://dbpedia.org/resource/Donald_D._Chamberlin","Donald D. Chamberlin"
