"uri","name"
"http://dbpedia.org/resource/Belding_Hibbard_Scribner","Belding Hibbard Scribner"
"http://dbpedia.org/resource/Jim_Breyer","Jim Breyer"
"http://dbpedia.org/resource/Juju_Chang","Juju Chang"
"http://dbpedia.org/resource/Nicole_Krauss","Nicole Krauss"
"http://dbpedia.org/resource/Michael_C._Reed","Michael C. Reed"
"http://dbpedia.org/resource/Redmond_Burke","Redmond Burke"
"http://dbpedia.org/resource/David_Lee_(investor)","David Lee (investor)"
"http://dbpedia.org/resource/Joshua_Browder","Joshua Browder"
"http://dbpedia.org/resource/Barry_Golson","Barry Golson"
"http://dbpedia.org/resource/Henry_Segerstrom","Henry Segerstrom"
"http://dbpedia.org/resource/Lynn_Jurich","Lynn Jurich"
"http://dbpedia.org/resource/Marcia_Linn","Marcia Linn"
"http://dbpedia.org/resource/Blake_Ross","Blake Ross"
"http://dbpedia.org/resource/Gian_Gentile","Gian Gentile"
"http://dbpedia.org/resource/Lele_Forood","Lele Forood"
"http://dbpedia.org/resource/Sheri_Fink","Sheri Fink"
"http://dbpedia.org/resource/Edward_H._Shortliffe","Edward H. Shortliffe"
"http://dbpedia.org/resource/Sepandar_Kamvar","Sepandar Kamvar"
"http://dbpedia.org/resource/David_O._Sacks","David O. Sacks"
"http://dbpedia.org/resource/Mat_Roy_Thompson","Mat Roy Thompson"
"http://dbpedia.org/resource/Ray_Dolby","Ray Dolby"
"http://dbpedia.org/resource/Lorry_I._Lokey","Lorry I. Lokey"
"http://dbpedia.org/resource/Warren_Leight","Warren Leight"
"http://dbpedia.org/resource/Wolfgang_von_Schweinitz","Wolfgang von Schweinitz"
"http://dbpedia.org/resource/Jennifer_Grant","Jennifer Grant"
"http://dbpedia.org/resource/Andrew_Mwenda","Andrew Mwenda"
"http://dbpedia.org/resource/Charles_Litton,_Sr.","Charles Litton, Sr."
"http://dbpedia.org/resource/Eric_M._Jackson","Eric M. Jackson"
"http://dbpedia.org/resource/Erik_Rauch","Erik Rauch"
"http://dbpedia.org/resource/Forrest_Church","Forrest Church"
"http://dbpedia.org/resource/John_Peabody_Harrington","John Peabody Harrington"
