"uri","name","occupation","city"
"http://dbpedia.org/resource/Ron_Hayes","Ron Hayes","The Rounders (TV series)","San Francisco"
"http://dbpedia.org/resource/Bob_Mathias","Bob Mathias","United States Marine Corps","Tulare, California"
"http://dbpedia.org/resource/Stanley_Sheinbaum","Stanley Sheinbaum","Peace movement","New York City"
"http://dbpedia.org/resource/Joseph_Bouchard","Joseph Bouchard","Corporate executive","Pensacola, Florida"
"http://dbpedia.org/resource/Kyle_Wong","Kyle Wong","Pixlee","Hudson, New York"
"http://dbpedia.org/resource/Larry_Page","Larry Page","List of Internet entrepreneurs","East Lansing, Michigan"
"http://dbpedia.org/resource/Alex_Tizon","Alex Tizon","University of Oregon","Manila"
"http://dbpedia.org/resource/Larry_Page","Larry Page","Computer scientist","East Lansing, Michigan"
"http://dbpedia.org/resource/Bob_Mathias","Bob Mathias","Actor","Tulare, California"
"http://dbpedia.org/resource/Ron_Hayes","Ron Hayes","Actor","San Francisco"
"http://dbpedia.org/resource/Bob_Mathias","Bob Mathias","US House of Representatives","Tulare, California"
"http://dbpedia.org/resource/Patricia_Lantz","Patricia Lantz","Attorney at law (United States)","Auburn, Washington"
"http://dbpedia.org/resource/Sam_Harris","Sam Harris","Cognitive neuroscience","Los Angeles"
"http://dbpedia.org/resource/David_M._Kelley","David M. Kelley","Engineer","Barberton, Ohio"
"http://dbpedia.org/resource/G._David_Low","G. David Low","Engineer","Cleveland"
"http://dbpedia.org/resource/Pete_Williams_(journalist)","Pete Williams (journalist)","Journalist","Casper, Wyoming"
"http://dbpedia.org/resource/Patrick_M._Byrne","Patrick M. Byrne","EdChoice","Fort Wayne, Indiana"
"http://dbpedia.org/resource/Razmig_Hovaghimian","Razmig Hovaghimian","Viki (website)","Cairo"
"http://dbpedia.org/resource/Sam_Harris","Sam Harris","Author","Los Angeles"
"http://dbpedia.org/resource/Patrick_M._Byrne","Patrick M. Byrne","CEO","Fort Wayne, Indiana"
"http://dbpedia.org/resource/Sam_Harris","Sam Harris","Philosopher","Los Angeles"
"http://dbpedia.org/resource/D._James_Baker","D. James Baker","Physicist","Long Beach, California"
"http://dbpedia.org/resource/Robert_A._Johnson_(psychotherapist)","Robert A. Johnson (psychotherapist)","Psychotherapy","Portland, Oregon"
"http://dbpedia.org/resource/John_S._Bull","John S. Bull","Test pilot","Memphis, Tennessee"
"http://dbpedia.org/resource/David_M._Kelley","David M. Kelley","Professor","Barberton, Ohio"
"http://dbpedia.org/resource/John_S._Bull","John S. Bull","Fighter pilot","Memphis, Tennessee"
"http://dbpedia.org/resource/Reid_Hoffman","Reid Hoffman","Greylock Partners","Palo Alto, California"
