[nlp] ... starting to process items ...
[nlp] ... items processed: 107000 elapsed: 0:02:21.381543
[nlp] ... items processed: 108000 elapsed: 0:02:22.239151
[nlp] ... items processed: 109000 elapsed: 0:02:23.105981
[nlp] ... items processed: 110000 elapsed: 0:02:24.004198
[nlp] ... items processed: 111000 elapsed: 0:02:25.102756
[nlp] ... items processed: 112000 elapsed: 0:02:26.581905
[nlp] ... items processed: 113000 elapsed: 0:02:28.048485
[nlp] ... items processed: 114000 elapsed: 0:02:29.429802
[nlp] ... items processed: 115000 elapsed: 0:02:30.386772
[nlp] ... items processed: 116000 elapsed: 0:02:31.196501
[nlp] ... items processed: 117000 elapsed: 0:02:32.428161
[nlp] ... items processed: 118000 elapsed: 0:02:33.615441
[nlp] ... items processed: 119000 elapsed: 0:02:34.906442
[nlp] ... items processed: 120000 elapsed: 0:02:35.669340
[nlp] ... items processed: 121000 elapsed: 0:02:36.928988
[nlp] ... items processed: 122000 elapsed: 0:02:37.769883
[nlp] ... items processed: 123000 elapsed: 0:02:38.702136
[nlp] ... items processed: 124000 elapsed: 0:02:39.856604
[nlp] ... items processed: 125000 elapsed: 0:02:41.467047
[nlp] ... items processed: 126000 elapsed: 0:02:42.581718
[nlp] ... items processed: 127000 elapsed: 0:02:43.765053
[nlp] ... items processed: 128000 elapsed: 0:02:45.159976
[nlp] ... items processed: 129000 elapsed: 0:02:45.986684
[nlp] ... items processed: 130000 elapsed: 0:02:46.820267
[nlp] ... items processed: 131000 elapsed: 0:02:48.172345
[nlp] ... items processed: 132000 elapsed: 0:02:49.057773
[nlp] ... items processed: 133000 elapsed: 0:02:50.081722
[nlp] ... items processed: 134000 elapsed: 0:02:50.959659
[nlp] ... items processed: 135000 elapsed: 0:02:51.866066
[nlp] ... items processed: 136000 elapsed: 0:02:52.747843
[nlp] ... items processed: 137000 elapsed: 0:02:54.199901
[nlp] ... items processed: 138000 elapsed: 0:02:55.536825
[nlp] ... items processed: 139000 elapsed: 0:02:56.982570
[nlp] ... items processed: 140000 elapsed: 0:02:58.081655
[nlp] ... items processed: 141000 elapsed: 0:02:58.979175
[nlp] ... items processed: 142000 elapsed: 0:02:59.865763
[nlp] ... items processed: 143000 elapsed: 0:03:01.337771
[nlp] ... items processed: 144000 elapsed: 0:03:02.596064
[nlp] ... items processed: 145000 elapsed: 0:03:04.075221
[nlp] ... items processed: 146000 elapsed: 0:03:05.144760
[nlp] ... items processed: 147000 elapsed: 0:03:06.065777
[nlp] ... items processed: 148000 elapsed: 0:03:06.928551
[nlp] ... items processed: 149000 elapsed: 0:03:07.984584
[nlp] ... items processed: 150000 elapsed: 0:03:09.495211
[nlp] ... items processed: 151000 elapsed: 0:03:10.782399
[nlp] ... items processed: 152000 elapsed: 0:03:11.723398
[nlp] ... items processed: 153000 elapsed: 0:03:13.332586
[nlp] ... items processed: 154000 elapsed: 0:03:14.337895
[nlp] ... items processed: 155000 elapsed: 0:03:15.335017
[nlp] ... items processed: 156000 elapsed: 0:03:16.575492
[nlp] ... items processed: 157000 elapsed: 0:03:17.629048
[nlp] ... items processed: 158000 elapsed: 0:03:18.675140
[nlp] ... items processed: 159000 elapsed: 0:03:20.295910
[nlp] ... items processed: 160000 elapsed: 0:03:21.319135
[nlp] ... items processed: 161000 elapsed: 0:03:22.432960
[nlp] ... items processed: 162000 elapsed: 0:03:24.005485
[nlp] ... items processed: 163000 elapsed: 0:03:25.065467
[nlp] ... items processed: 164000 elapsed: 0:03:26.671128
[nlp] ... items processed: 165000 elapsed: 0:03:27.982374
[nlp] ... items processed: 166000 elapsed: 0:03:28.927473
[nlp] ... items processed: 167000 elapsed: 0:03:30.432809
[nlp] ... items processed: 168000 elapsed: 0:03:31.423888
[nlp] ... items processed: 169000 elapsed: 0:03:33.052489
[nlp] ... items processed: 170000 elapsed: 0:03:34.032501
[nlp] ... items processed: 171000 elapsed: 0:03:35.033015
[nlp] ... items processed: 172000 elapsed: 0:03:36.311826
[nlp] ... items processed: 173000 elapsed: 0:03:37.278935
[nlp] ... items processed: 174000 elapsed: 0:03:38.701355
[nlp] ... items processed: 175000 elapsed: 0:03:40.029312
[nlp] ... items processed: 176000 elapsed: 0:03:41.056735
[nlp] ... items processed: 177000 elapsed: 0:03:42.095625
[nlp] ... items processed: 178000 elapsed: 0:03:43.388302
[nlp] ... items processed: 179000 elapsed: 0:03:45.101745
[nlp] ... items processed: 180000 elapsed: 0:03:46.723553
[nlp] ... items processed: 181000 elapsed: 0:03:47.764100
[nlp] ... items processed: 182000 elapsed: 0:03:48.963542
[nlp] ... items processed: 183000 elapsed: 0:03:49.952927
[nlp] ... items processed: 184000 elapsed: 0:03:51.616466
[nlp] ... items processed: 185000 elapsed: 0:03:52.880750
[nlp] ... items processed: 186000 elapsed: 0:03:53.788139
[nlp] ... items processed: 187000 elapsed: 0:03:55.357604
[nlp] ... items processed: 188000 elapsed: 0:03:56.234436
[nlp] ... items processed: 189000 elapsed: 0:03:57.830127
[nlp] ... items processed: 190000 elapsed: 0:03:58.677652
[nlp] ... items processed: 191000 elapsed: 0:03:59.505664
[nlp] ... items processed: 192000 elapsed: 0:04:00.340068
[nlp] ... items processed: 193000 elapsed: 0:04:01.199595
[nlp] ... items processed: 194000 elapsed: 0:04:01.719288
[nlp] ... items processed: 195000 elapsed: 0:04:02.253354
